Movie_ID,Release_Year,Runtime_Min,Budget_Million,Votes,Metascore,Genre,Language,IMDb_Rating
40,2024,144,83,944024,42,Action,Korean,5.2
41,2002,112,140,185553,45,Crime,Japanese,5.4
42,2004,119,30,565696,47,Crime,Korean,5.5
43,2018,153,183,885438,51,Animation,Hindi,6.3
44,2006,122,177,264568,42,Thriller,Japanese,5.3
45,2020,123,48,324278,55,Thriller,Japanese,4.5
46,2008,108,137,156563,52,Thriller,French,4.7
47,2006,92,74,661701,64,Sci-Fi,French,6.9
48,2017,91,158,704983,52,Horror,English,5.5
49,2003,174,122,619615,80,Sci-Fi,Korean,5.8
50,2024,125,72,398554,81,Action,French,5.5
51,2013,81,23,207503,65,Animation,English,6.4
52,2017,114,24,148326,72,Crime,French,5.5
53,2008,166,117,712220,66,Horror,Korean,6.5
54,2020,160,144,16344,45,Sci-Fi,Japanese,5.2
55,2001,169,51,399966,79,Sci-Fi,Spanish,6.1
56,2019,87,5,977260,59,Romance,Korean,6.3
57,2014,172,94,597245,67,Sci-Fi,Hindi,5.5
58,2006,105,146,110423,94,Adventure,French,5.8
59,2011,153,68,325197,72,Crime,French,6
60,2007,169,42,469071,75,Adventure,Japanese,5.8
61,2014,113,41,676256,42,Crime,Hindi,5.5
62,2002,86,130,191833,45,Animation,Japanese,5.5
63,2013,147,143,722912,56,Crime,Hindi,6.4
64,2016,137,104,780435,85,Adventure,Spanish,7.3
65,2003,154,81,82454,58,Crime,French,5.6
66,2017,108,7,262594,75,Animation,French,6.2
67,2007,115,165,516897,51,Animation,Spanish,5.8
68,2003,168,138,357744,46,Action,English,5.1
69,2001,100,182,914164,91,Crime,Japanese,7.9
70,2005,115,14,521142,80,Romance,Spanish,5.9
71,2021,89,9,950439,66,Thriller,Japanese,6.4
72,2009,180,155,42641,49,Comedy,Korean,5.4
73,2003,152,142,558999,50,Animation,French,6.2
74,2021,103,176,861774,88,Drama,Japanese,6.9
75,2017,143,134,374040,56,Thriller,Hindi,6
76,2011,178,17,672542,62,Horror,Japanese,5.5
77,2001,128,172,617121,54,Crime,Korean,6.4
78,2009,178,134,323420,67,Adventure,French,6.2
79,2003,115,88,286685,44,Comedy,Spanish,5.4
80,2013,161,69,885889,74,Drama,Korean,6.5
81,2015,175,67,480526,66,Thriller,French,6.2
82,2014,103,105,49813,84,Crime,Japanese,6.4
83,2007,102,77,697558,94,Action,English,6.8
84,2013,141,21,669180,67,Horror,English,5.6
85,2022,175,13,291214,36,Comedy,Hindi,5.2
86,2024,116,147,992272,67,Romance,French,6.6
87,2007,91,156,933626,67,Action,English,5.8
88,2020,134,42,347703,75,Drama,Spanish,5.9
89,2015,92,167,209615,47,Comedy,French,5
90,2012,102,98,481657,64,Action,Spanish,6.2
91,2017,168,99,571074,67,Horror,Spanish,6.4
92,2014,178,53,755294,47,Romance,English,6.2
93,2020,109,73,760164,86,Action,French,6.7
94,2023,96,66,404953,60,Sci-Fi,Japanese,6
95,2024,141,192,827494,56,Romance,Korean,5.8
96,2012,163,182,976741,73,Drama,English,7.2
97,2008,168,82,843003,36,Horror,English,5.6
98,2014,165,121,292654,72,Crime,Japanese,5.8
99,2012,92,124,286570,73,Adventure,French,6
100,2000,138,141,42265,60,Adventure,French,6
101,2024,98,166,940354,80,Adventure,Spanish,7.2
102,2006,128,80,254321,92,Comedy,Japanese,6.6
103,2008,179,39,71150,84,Drama,Japanese,5.3
104,2023,91,5,616600,49,Horror,French,5.8
105,2000,140,44,94613,68,Romance,Spanish,5.3
106,2011,98,68,342054,76,Comedy,English,5.6
107,2007,155,154,843807,89,Drama,Hindi,7.3
108,2023,88,64,126826,78,Crime,Korean,5.4
109,2010,150,68,564723,83,Sci-Fi,English,7
110,2018,107,97,887875,74,Horror,French,6.2
111,2016,157,76,455348,45,Adventure,Korean,5.2
112,2007,174,15,215017,95,Action,Hindi,6.1
113,2002,131,109,139055,37,Horror,Hindi,5
114,2002,162,18,495457,93,Animation,Spanish,6.8
115,2000,95,64,681022,40,Drama,Korean,5.2
116,2004,148,34,814942,43,Thriller,Spanish,5.9
117,2009,178,39,738547,40,Crime,English,5.5
118,2006,91,169,701358,43,Sci-Fi,Japanese,5
119,2008,104,9,455062,73,Crime,Japanese,6.7
120,2006,131,87,99071,65,Horror,Japanese,5.4
121,2008,164,127,798072,66,Thriller,Korean,6.4
122,2007,179,82,311691,75,Animation,Japanese,6.1
123,2011,132,158,846052,84,Romance,English,7.3
124,2001,102,66,151389,46,Action,Spanish,5.9
125,2000,95,136,644896,42,Thriller,Korean,5.7
126,2015,136,93,274708,42,Drama,Spanish,5
127,2022,118,46,687705,84,Adventure,Korean,6.6
128,2022,132,93,643112,62,Animation,Spanish,6.4
129,2023,121,150,259444,54,Action,Hindi,4.5
130,2004,137,44,608561,81,Sci-Fi,Spanish,6.6
131,2002,118,76,866291,93,Adventure,Japanese,7.3
132,2011,93,43,216837,41,Horror,Hindi,5.1
133,2007,174,108,115017,45,Thriller,Spanish,5.5
134,2021,84,18,996542,54,Action,Korean,6
135,2002,114,36,128618,50,Comedy,Korean,5.5
136,2000,166,183,974897,38,Romance,Korean,6.7
137,2002,172,129,464297,40,Romance,French,5.3
138,2004,154,170,130341,92,Animation,English,6.7
139,2014,97,101,820862,56,Sci-Fi,Korean,5.5
140,2013,155,27,735892,60,Animation,Hindi,5.7
141,2002,88,67,557076,37,Comedy,Korean,4.9
142,2000,153,147,755865,75,Drama,French,6.7
143,2004,137,157,446759,94,Sci-Fi,Japanese,6.4
144,2022,96,149,936423,76,Crime,Hindi,7
145,2013,86,198,860778,48,Drama,French,6.1
146,2006,125,57,887554,45,Sci-Fi,Japanese,6.3
147,2008,92,108,569262,52,Sci-Fi,Hindi,5.6
148,2014,119,108,898741,88,Comedy,Spanish,6.2
149,2014,121,183,545659,46,Horror,English,5.5
150,2009,88,43,836516,57,Comedy,English,5.9
151,2012,129,183,427845,46,Sci-Fi,French,5.3
152,2018,106,138,711544,47,Action,Japanese,5.7
153,2006,145,71,329060,59,Drama,English,5.5
154,2016,84,139,603260,79,Comedy,Japanese,6.5
155,2019,108,183,198259,85,Horror,Japanese,6.9
156,2003,116,46,280128,92,Thriller,French,5.6
157,2004,117,196,824471,53,Animation,French,6.1
158,2022,162,19,614719,89,Sci-Fi,French,6.5
159,2006,87,115,875123,80,Crime,English,6.8
160,2012,144,161,850038,70,Thriller,French,7
161,2014,165,37,408832,79,Romance,English,6.3
162,2010,96,159,894097,42,Adventure,French,6.2
163,2003,150,168,634661,63,Horror,Korean,6
164,2012,168,161,186144,89,Crime,Japanese,6.1
165,2006,124,42,816006,87,Adventure,French,6.5
166,2018,83,189,925934,89,Horror,Hindi,7.1
167,2021,115,101,255195,66,Action,Japanese,5.6
168,2001,149,159,148748,85,Animation,Japanese,6.8
169,2009,110,187,409032,78,Thriller,French,6.4
170,2012,98,37,37733,52,Drama,Spanish,4.8
171,2024,140,200,746040,40,Horror,French,5.4
172,2020,133,90,531338,52,Drama,Japanese,6.1
173,2005,118,70,114996,53,Animation,Hindi,5.5
174,2011,170,14,563221,56,Sci-Fi,Japanese,6.2
175,2011,153,9,554239,71,Romance,Hindi,5.6
176,2019,169,127,561701,66,Thriller,English,5.8
177,2010,98,78,170873,90,Animation,Korean,6.2
178,2022,118,101,715979,75,Animation,Japanese,7.1
179,2024,146,122,955417,93,Action,French,6.9
180,2006,124,42,904005,37,Adventure,English,5.9
181,2000,92,145,438816,62,Romance,Korean,5.9
182,2000,171,163,718135,44,Thriller,French,6.1
183,2024,137,51,226888,85,Sci-Fi,Spanish,6.8
184,2024,99,113,790332,69,Sci-Fi,French,7
185,2019,171,184,750453,95,Comedy,Hindi,7
186,2012,151,188,772950,63,Animation,Hindi,5.8
187,2008,140,19,171472,88,Horror,Spanish,5.6
188,2002,118,161,402710,49,Action,English,5.4
189,2006,80,140,216760,67,Romance,Korean,5.4
190,2005,82,9,127744,41,Sci-Fi,French,5.5
191,2007,156,161,880863,46,Thriller,Hindi,6.1
192,2008,171,51,735051,83,Comedy,English,6.9
193,2004,141,72,506946,64,Thriller,Spanish,6
194,2000,142,80,48001,55,Action,Japanese,4.9
195,2018,104,177,596652,65,Horror,Hindi,5.2
196,2009,135,134,916420,92,Comedy,Spanish,7.1
197,2011,112,159,836460,95,Comedy,French,8.3
198,2023,117,99,243506,58,Adventure,Korean,5.1
199,2014,85,119,758019,54,Romance,Hindi,5.2
200,2021,137,168,435789,71,Comedy,Hindi,6.8
201,2023,123,40,661166,38,Adventure,French,5.7
202,2008,124,30,915775,62,Adventure,Japanese,6.4
203,2019,111,47,716998,78,Action,English,6.8
204,2016,124,31,657589,54,Drama,Korean,5.7
205,2016,140,73,917727,94,Thriller,Hindi,7.1
206,2019,126,152,504722,58,Horror,Korean,6
207,2011,100,15,690117,84,Crime,Hindi,7.4
208,2006,159,78,563924,83,Thriller,Korean,6.1
209,2001,164,108,740457,85,Comedy,Spanish,7.2
210,2002,154,42,184352,66,Horror,Hindi,5.5
211,2016,180,138,815694,75,Sci-Fi,Korean,6.9
212,2004,115,27,871867,70,Drama,English,6.6
213,2016,178,51,198283,92,Sci-Fi,Spanish,5.9
214,2023,98,94,977346,87,Sci-Fi,Spanish,7.5
215,2016,99,50,920015,68,Romance,English,6
216,2016,136,111,455195,70,Thriller,Korean,5.7
217,2001,97,144,774884,36,Crime,French,6.1
218,2001,126,145,436413,49,Action,English,5.7
219,2021,128,108,308988,68,Crime,Korean,6.1
220,2022,93,194,331898,70,Sci-Fi,English,6.4
221,2004,94,115,956661,40,Comedy,English,6.3
222,2000,110,108,868561,73,Drama,Hindi,7.3
223,2000,80,64,307186,76,Animation,Korean,5.8
224,2018,133,175,66665,85,Crime,French,6.6
225,2001,82,104,251584,85,Sci-Fi,Hindi,6.3
226,2020,95,72,121953,92,Drama,English,6.9
227,2011,166,137,481072,88,Horror,Japanese,6.4
228,2005,136,124,687736,95,Thriller,English,6.9
229,2022,154,41,191626,46,Adventure,English,4.9
230,2003,91,76,150271,37,Romance,Korean,4.7
231,2022,153,131,123533,79,Drama,Korean,6.4
232,2010,175,110,973452,52,Comedy,Hindi,6.4
233,2023,95,96,603069,74,Comedy,French,6.3
234,2016,151,35,470966,55,Drama,Hindi,6.1
235,2005,155,126,71262,49,Comedy,Spanish,5
236,2023,103,141,838032,67,Thriller,English,6.1
237,2004,107,55,81898,69,Comedy,Japanese,5.1
238,2019,87,33,460699,60,Crime,English,6.2
239,2001,171,44,154369,42,Adventure,English,5.2
240,2005,115,45,559736,70,Comedy,Hindi,5.4
241,2021,169,15,293316,82,Adventure,Japanese,6.5
242,2010,87,155,965378,64,Sci-Fi,Japanese,7.3
243,2015,137,5,12657,57,Action,Japanese,4.7
244,2015,139,50,482602,76,Thriller,Hindi,6.3
245,2000,129,105,785977,78,Action,English,6.3
246,2008,107,153,947929,48,Sci-Fi,Hindi,6.4
247,2005,171,94,949189,48,Thriller,Korean,5.7
248,2015,180,114,379999,36,Drama,Korean,5.4
249,2002,120,168,947082,89,Drama,Hindi,7.8
250,2019,179,186,689191,71,Adventure,Japanese,7.1
251,2003,143,61,12906,39,Sci-Fi,English,5
252,2018,106,5,328557,72,Adventure,Hindi,5.7
253,2002,142,67,583316,79,Romance,Hindi,5.7
254,2018,96,186,798719,75,Comedy,Hindi,6.3
255,2019,152,59,300804,88,Animation,Spanish,6.3
256,2006,112,119,473974,94,Romance,Korean,6.3
257,2019,163,172,851936,95,Comedy,Japanese,7.3
258,2008,156,147,720080,81,Thriller,French,6.6
259,2000,171,153,632267,48,Adventure,Japanese,6
260,2007,108,179,39701,90,Thriller,French,6.5
261,2006,92,57,88300,73,Thriller,Spanish,5.4
262,2017,125,141,770537,59,Comedy,Hindi,5.7
263,2007,114,184,678034,54,Sci-Fi,Spanish,5.9
264,2000,85,61,88560,36,Comedy,Spanish,4.8
265,2010,161,121,247615,73,Horror,English,5.9
266,2024,148,158,946378,40,Drama,Korean,6.4
267,2024,126,173,48642,51,Drama,French,5.9
268,2017,104,39,522083,93,Romance,Hindi,6.4
269,2022,145,67,496036,59,Drama,French,6.8
270,2009,89,29,332304,91,Comedy,Japanese,6.5
271,2002,135,94,809034,62,Crime,French,5.6
272,2006,109,79,370464,36,Adventure,Japanese,5.7
273,2015,84,42,618089,69,Comedy,Korean,5.7
274,2015,112,134,293075,71,Comedy,Japanese,5.5
275,2024,144,139,99377,39,Animation,French,5.3
276,2019,97,166,820624,35,Adventure,French,5.1
277,2016,175,95,837974,74,Horror,Japanese,6.2
278,2001,128,21,918447,46,Drama,Spanish,6.7
279,2000,90,132,833952,90,Adventure,Korean,7.2
280,2015,164,175,331916,70,Drama,English,6.6
281,2011,105,191,456978,79,Romance,Hindi,6
282,2004,142,112,317250,57,Adventure,French,5.1
283,2004,168,183,610409,81,Drama,Hindi,7.2
284,2022,165,186,30559,65,Horror,English,5.7
285,2008,138,156,897027,45,Action,Hindi,6.2
286,2008,106,29,563030,44,Thriller,English,5.4
287,2002,128,184,861101,37,Thriller,Japanese,5.5
288,2018,156,92,682114,88,Horror,Spanish,7.4
289,2015,112,165,140044,48,Animation,French,5.5
290,2015,177,181,862263,50,Action,English,6
291,2002,178,33,117217,44,Romance,Hindi,4.8
292,2019,80,67,571161,63,Horror,French,5.7
293,2023,100,154,897964,44,Thriller,Spanish,6.3
294,2021,134,158,917699,46,Thriller,Japanese,6.2
295,2023,85,160,408119,64,Thriller,French,6.1
296,2000,171,118,663380,75,Sci-Fi,English,6.7
297,2023,160,53,833187,35,Horror,Spanish,5.3
298,2019,148,85,877388,39,Comedy,Hindi,6
299,2010,174,88,91988,54,Romance,Spanish,5.4
300,2016,84,109,574936,42,Thriller,Spanish,5.3
301,2007,82,181,130991,77,Drama,Korean,5.8
302,2003,132,152,407732,46,Horror,Spanish,5.3
303,2005,102,122,511079,35,Sci-Fi,Spanish,5.3
304,2007,180,90,906437,91,Horror,French,6.7
305,2019,132,67,531684,88,Romance,Hindi,6.1
306,2002,116,193,89082,54,Sci-Fi,French,5.6
307,2015,153,108,941633,62,Romance,French,6.6
308,2024,153,53,133322,91,Horror,English,5.8
309,2002,162,75,661951,77,Comedy,French,6.2
310,2024,96,5,16303,71,Romance,Korean,4.9
311,2017,164,145,166633,81,Sci-Fi,Korean,6.3
312,2013,157,183,338863,71,Sci-Fi,English,5.9
313,2017,152,127,254690,46,Romance,Japanese,6
314,2001,80,188,789108,71,Crime,Hindi,6.6
315,2021,130,66,104616,83,Horror,Hindi,4.8
316,2002,124,36,915597,83,Crime,French,7
317,2015,156,162,91231,90,Animation,French,6.4
318,2008,83,33,274458,78,Horror,Japanese,6
319,2003,141,53,24623,90,Romance,French,6
320,2000,144,177,728035,62,Action,Hindi,5.9
321,2003,111,34,495042,81,Romance,Spanish,6
322,2000,113,148,463298,49,Crime,Korean,5.9
323,2013,171,172,481840,40,Comedy,Spanish,4.7
324,2020,174,23,110228,78,Romance,Spanish,6.2
325,2015,151,22,431346,93,Romance,Hindi,6.1
326,2019,118,5,712116,95,Comedy,Spanish,7.3
327,2023,105,82,889056,54,Romance,Japanese,6.1
328,2007,113,119,686652,84,Thriller,English,6.9
329,2006,133,179,903217,48,Action,French,6.4
330,2002,82,198,525547,36,Drama,English,5.8
331,2016,129,117,877638,43,Action,Korean,6
332,2000,91,118,74274,71,Romance,French,5.4
333,2015,144,170,138541,54,Thriller,Spanish,5.5
334,2011,133,183,58947,60,Horror,Korean,5
335,2018,84,67,682894,63,Romance,French,5.8
336,2021,173,136,199692,35,Crime,Japanese,5.9
337,2022,173,133,53874,89,Thriller,Japanese,5.9
338,2021,136,12,578996,69,Comedy,Japanese,6
339,2013,96,161,79553,40,Thriller,Japanese,4.9
340,2005,126,59,597632,71,Comedy,Spanish,6
341,2005,102,107,840570,87,Animation,English,7.2
342,2012,158,135,714662,93,Drama,French,7.5
343,2018,180,36,576926,39,Adventure,Spanish,5.1
344,2021,164,14,83249,67,Thriller,Japanese,5.5
345,2007,93,114,897297,83,Sci-Fi,English,6.6
346,2001,145,166,532007,85,Crime,Korean,7.1
347,2020,154,128,683250,48,Romance,Korean,5.8
348,2000,130,91,475452,46,Crime,Korean,5.7
349,2014,117,59,434725,76,Action,Japanese,6.2
350,2000,143,36,47534,54,Adventure,Korean,5
351,2004,177,182,500518,87,Action,Hindi,6.9
352,2015,117,139,621529,84,Animation,French,6.4
353,2018,129,97,417003,58,Adventure,French,6.2
354,2003,177,12,131209,93,Adventure,Japanese,6
355,2002,161,69,447061,77,Action,Hindi,5.5
356,2016,109,61,194004,68,Comedy,Spanish,5.4
357,2016,158,71,621412,59,Action,Spanish,5.7
358,2011,170,191,620947,84,Crime,Korean,6.9
359,2013,130,76,169134,63,Comedy,English,5.5
360,2020,142,58,80713,91,Crime,Spanish,6.7
361,2005,177,71,747623,73,Animation,English,6.6
362,2002,131,55,493972,65,Romance,French,5.6
363,2008,117,101,982965,90,Horror,English,6.5
364,2004,176,96,80418,81,Comedy,French,5.7
365,2023,167,12,989176,77,Animation,Hindi,6.3
366,2016,158,166,133232,84,Sci-Fi,Hindi,6
367,2013,109,39,957336,57,Animation,Japanese,6.8
368,2020,130,100,525551,78,Action,Japanese,5.9
369,2002,160,92,168038,72,Action,Korean,5.9
370,2000,84,82,995049,54,Horror,Spanish,5.5
371,2019,108,36,935491,57,Animation,Korean,6.9
372,2020,83,124,173383,79,Drama,French,6.8
373,2022,89,50,823007,86,Romance,Korean,6.8
374,2000,135,148,330996,50,Action,English,6
375,2002,96,200,263722,84,Horror,French,6.1
376,2017,153,169,137079,76,Romance,Japanese,6.1
377,2024,96,186,207053,94,Animation,Hindi,7
378,2009,163,146,605530,89,Animation,Japanese,7
379,2021,167,59,183589,42,Adventure,Spanish,4.5
380,2002,148,180,508238,84,Horror,French,6.6
381,2007,113,11,34257,55,Action,French,4.7
382,2013,85,78,485488,35,Drama,English,5.2
383,2023,132,11,440423,89,Animation,Spanish,6.6
384,2017,145,165,149353,42,Drama,Hindi,5.5
385,2014,156,155,328390,63,Animation,French,6.1
386,2021,122,89,268579,66,Action,French,5.8
387,2022,154,151,234947,72,Romance,English,5.6
388,2001,102,116,236758,39,Thriller,Korean,5
389,2009,134,129,620645,81,Romance,Hindi,6.8
390,2001,159,151,162732,56,Animation,Japanese,6.2
391,2016,174,40,927588,81,Crime,Spanish,7.8
392,2007,154,33,936011,68,Thriller,French,6.7
393,2000,95,192,732955,35,Thriller,French,5.9
394,2008,87,86,613095,89,Drama,Japanese,7.5
395,2010,83,6,443755,89,Horror,Hindi,5.8
396,2021,83,133,907385,60,Drama,Korean,6.8
397,2015,135,51,143563,77,Drama,French,6.3
398,2006,104,152,788066,44,Crime,Hindi,6.5
399,2009,146,15,511047,64,Romance,Japanese,5.4
400,2022,175,134,710552,84,Romance,English,6.4
401,2002,146,199,915229,52,Sci-Fi,Korean,6.4
402,2017,106,123,331032,51,Animation,Spanish,5.7
403,2024,172,144,602897,60,Crime,French,6.7
404,2023,111,24,800509,42,Sci-Fi,Hindi,5.9
405,2012,129,9,777800,81,Action,English,6.4
406,2006,140,41,258973,74,Animation,Spanish,6.1
407,2024,130,170,288097,83,Animation,Hindi,6.5
408,2003,98,141,999423,46,Adventure,Hindi,6.8
409,2012,100,57,381826,61,Adventure,Spanish,5.7
410,2019,84,176,519257,42,Comedy,English,5.3
411,2000,161,103,859321,59,Comedy,Japanese,6.4
412,2007,171,90,684181,80,Drama,English,7
413,2013,121,112,435783,38,Action,Korean,4.5
414,2015,140,28,120374,67,Thriller,French,5.5
415,2013,101,85,554148,35,Thriller,Spanish,5.2
416,2011,100,162,681555,53,Adventure,Japanese,5.8
417,2018,149,124,606763,65,Adventure,Spanish,6.6
418,2022,80,63,489090,50,Adventure,Spanish,5.2
419,2014,84,132,878698,48,Crime,English,6.3
420,2001,91,118,681787,87,Horror,French,6.4
421,2001,169,119,892164,82,Comedy,Korean,7
422,2022,125,18,294227,39,Crime,Hindi,5.3
423,2021,113,13,747406,75,Romance,Hindi,5.8
424,2018,128,44,848804,60,Thriller,Spanish,6.2
425,2024,157,198,653074,62,Animation,French,7.2
426,2021,169,29,966568,36,Comedy,Japanese,5.2
427,2021,124,107,537101,84,Sci-Fi,English,6.6
428,2016,106,26,36598,40,Romance,French,4.9
429,2019,152,8,510934,43,Comedy,French,5.4
430,2009,105,158,787239,67,Crime,English,6.8
431,2005,126,190,622394,75,Action,Spanish,5.5
432,2014,165,33,294226,59,Animation,French,5.9
433,2021,135,113,820673,82,Comedy,Hindi,6.5
434,2010,173,102,232286,47,Horror,English,5.1
435,2004,142,41,442785,43,Adventure,Japanese,5.3
436,2000,127,79,16745,87,Adventure,Korean,6.8
437,2007,140,74,817461,47,Animation,Spanish,6.2
438,2020,160,150,149097,65,Crime,English,5.8
439,2011,105,132,237732,75,Adventure,Korean,5.4
440,2011,115,89,914827,45,Comedy,Korean,5.9
441,2004,80,46,674648,38,Sci-Fi,Japanese,5.7
442,2006,87,104,618474,68,Thriller,French,6.1
443,2003,178,45,929044,95,Thriller,Japanese,7.1
444,2005,131,170,889200,72,Romance,French,6.4
445,2012,158,38,218030,80,Drama,French,6.4
446,2019,126,21,729238,38,Action,English,5.6
447,2014,135,169,571134,72,Animation,English,7
448,2002,165,157,343076,53,Romance,Spanish,5.2
449,2022,93,126,153554,40,Drama,French,5.3
450,2007,169,80,290555,68,Crime,Korean,6
451,2019,107,91,449191,52,Horror,Hindi,5.2
452,2015,166,121,458761,47,Horror,Spanish,5.5
453,2012,157,110,510518,75,Action,English,6.3
454,2017,167,90,345941,57,Adventure,Japanese,5.9
455,2009,81,31,319451,53,Comedy,Spanish,4.8
456,2018,105,61,925597,79,Romance,Spanish,6.4
457,2016,93,35,999762,45,Romance,Spanish,6.3
458,2023,138,138,289186,35,Animation,Spanish,5.1
459,2018,135,172,582218,58,Animation,Hindi,6.3
460,2022,86,102,777944,88,Horror,Japanese,6.9
461,2004,82,16,442629,41,Horror,Japanese,5
462,2020,102,57,773747,59,Sci-Fi,Japanese,6.3
463,2022,97,142,229695,55,Sci-Fi,French,5.8
464,2008,117,177,889315,49,Adventure,Korean,5.4
465,2011,178,149,300900,35,Sci-Fi,Japanese,5.1
466,2020,94,158,58268,46,Comedy,Spanish,5.1
467,2000,143,194,437430,92,Comedy,Spanish,7.2
468,2000,168,126,217943,41,Romance,Japanese,5.1
469,2014,180,50,788204,49,Thriller,Japanese,5.6
470,2001,107,68,426818,55,Comedy,Spanish,5.2
471,2021,153,134,713691,53,Drama,French,6.6
472,2015,118,58,578189,94,Horror,English,6.4
473,2024,136,111,367130,63,Animation,English,5.9
474,2007,96,197,199488,59,Sci-Fi,Japanese,5.9
475,2012,165,55,692556,67,Romance,Hindi,5.1
476,2020,169,185,395530,83,Action,Japanese,7.1
477,2000,123,40,797058,66,Animation,Japanese,6.1
478,2015,104,119,667784,83,Drama,English,6.9
479,2006,96,30,804289,69,Sci-Fi,Spanish,5.8
480,2004,92,33,246531,78,Drama,Japanese,5.9
481,2021,163,153,251693,72,Horror,Spanish,6.2
482,2022,104,15,942486,60,Horror,Spanish,5.3
483,2002,147,44,999465,45,Adventure,Hindi,6.5
484,2011,89,15,924484,69,Romance,Spanish,6.2
485,2015,146,168,708650,42,Animation,English,6.1
486,2018,97,117,555719,80,Crime,French,6.8
487,2004,179,191,876408,48,Crime,French,6.6
488,2021,165,43,243360,44,Animation,Korean,5
489,2024,113,58,349855,36,Action,Japanese,4.7
490,2013,87,102,512403,80,Romance,English,5.7
491,2004,119,59,31385,43,Drama,Spanish,5.2
492,2014,162,115,436374,37,Action,French,5.7
493,2016,121,156,421235,55,Thriller,English,5.1
494,2013,120,154,285783,60,Animation,French,5.5
495,2019,180,73,90530,42,Drama,Spanish,5.1
496,2004,85,60,760271,82,Crime,French,6.8
497,2011,131,37,288707,36,Comedy,Japanese,5.2
498,2015,105,40,961845,40,Adventure,Japanese,5.8
499,2015,143,152,382816,62,Crime,Korean,5.9
500,2020,177,85,928280,87,Romance,Korean,7.4
